scrape_datetime,base_url,category,product_url,product_name,catalog_code,stock_code,availability,buying_option,price
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-18-str-red-cu-500-18awg-stranded-tffn-wire-copper-red-1-conductor-reel-of-500ft,"TFFN-18-STR-RED-CU-500, 18AWG, Stranded, TFFN Wire, Copper, Red, 1 Conductor, Reel of 500ft",TFFN-18-STR-RED-CU-500,0041-6214,Available: (5000 Feet),Reel of 500 Feet,$71.44 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-18-str-yel-cu-500-18awg-stranded-tffn-wire-copper-yellow-1-conductor-reel-of-500ft,"TFFN-18-STR-YEL-CU-500, 18AWG, Stranded, TFFN Wire, Copper, Yellow, 1 Conductor, Reel of 500ft",TFFN-18-STR-YEL-CU-500,0041-6226,Available: (10000 Feet),Reel of 500 Feet,$71.44 per 1000
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-12-2-cu-250c-nm-b-12-2-cu-250c-12awg-solid-romex-cable-copper-black-white-3-conductor-coil-of-250ft,"NM-B-12/2-CU-250C, NM-B-12/2-CU-250C 12AWG, Solid, Romex Cable, Copper, Black/White, 3 Conductor, Coil of 250ft",NM-B-12/2-CU-250C,0041-4144,Available: (3250 Feet),,$589.55 per 1000
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-14-2-cu-250c-nm-b-14-2-cu-250c-14awg-solid-romex-cable-copper-black-white-3-conductor-coil-of-250ft,"NM-B-14/2-CU-250C, NM-B-14/2-CU-250C 14AWG, Solid, Romex Cable, Copper, Black/White, 3 Conductor, Coil of 250ft",NM-B-14/2-CU-250C,0041-4132,Available: (750 Feet),,$398.03 per 1000
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-14-3-cu-250c-14awg-solid-nm-b-cable-copper-black-red-white-3-conductor-coil-of-250ft,"NM-B-14/3-CU-250C, 14AWG, Solid, NM-B Cable, Copper, Black/Red/White, 3 Conductor, Coil of 250ft",NM-B-14/3-CU-250C,0041-4159,Available: (106250 Feet),Coil of 250 Feet,$530.02 per 1000
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-10-3-cu-1000-10awg-solid-nm-b-cable-copper-black-red-white-3-conductor-reel-of-1000ft,"NM-B-10/3-CU-1000, 10AWG, Solid, NM-B Cable, Copper, Black/Red/White, 3 Conductor, Reel of 1000ft",NM-B-10/3-CU-1000,0041-9256,Available: (2000 Feet),Reel of 1000 Feet,"$1,295.60 per 1000"
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-10-2-cu-1000-10awg-solid-nm-b-cable-copper-black-white-2-conductor-reel-of-1000ft,"NM-B-10/2-CU-1000, 10AWG, Solid, NM-B Cable, Copper, Black/White, 2 Conductor, Reel of 1000ft",NM-B-10/2-CU-1000,0041-9178,Available: (1000 Feet),Reel of 1000 Feet,"$1,043.41 per 1000"
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-10-2-cu-250c-nm-b-10-2-cu-250c-10awg-solid-romex-cable-copper-black-white-3-conductor-coil-of-250ft,"NM-B-10/2-CU-250C, NM-B-10/2-CU-250C 10AWG, Solid, Romex Cable, Copper, Black/White, 3 Conductor, Coil of 250ft",NM-B-10/2-CU-250C,0041-4150,Available: (500 Feet),,"$1,028.68 per 1000"
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-10-3-cu-250c-10awg-solid-nm-b-cable-copper-black-red-white-3-conductor-w-ground-coil-of-250ft,"NM-B-10/3-CU-250C, 10AWG, Solid, NM-B Cable, Copper, Black/Red/White, 3 Conductor w/Ground, Coil of 250ft",NM-B-10/3-CU-250C,0041-4171,Available: (500 Feet),Coil of 250 Feet,"$1,280.88 per 1000"
2025-02-27 14:04:48,https://www.cityelectricsupply.com/nm-b-wire,NM-B Wire,https://www.cityelectricsupply.com/nm-b-12-2-cu-1000-12awg-solid-nm-b-cable-copper-black-white-2-conductor-reel-of-1000ft,"NM-B-12/2-CU-1000, 12AWG, Solid, NM-B Cable, Copper, Black/White, 2 Conductor, Reel of 1000ft",NM-B-12/2-CU-1000,0041-9163,Available: (74000 Feet),Reel of 1000 Feet,$604.26 per 1000
