provider,mcNumber,isSupported,date,status_text
Fleet,1288880,0,2025-08-04 16:09:52.680210,DECLINE
Fleet,1560727,2,2025-08-04 16:10:01.894879,REVIEW
Fleet,001679,1,2025-08-04 16:10:09.397880,APPROVE
Fleet,186013,1,2025-08-04 16:10:17.893875,APPROVE
